Ozarks Community Hospital,Fri Jan 17 15:40:00 +0000 2020,RT @CDCFlu: #FluFactFriday: If you have #heartdisease or have had a stroke it is especially important that you get #fluvaccine every flu s…,Algeria,General,720,297,24,41,False,2212,False,http://pbs.twimg.com/profile_images/756567637086253056/Jm7SVsmh_normal.jpg,
Alyssa R. Letourneau, MD, MPH,Fri Jan 17 15:40:09 +0000 2020,RT @bryant_yang: lessons from ID fellowship1. get your #FluShot2. respect staph aureus2 wks on service so far: 10 consults for flu 9 o…,Algeria,General,141,162,3,271,False,39,False,http://pbs.twimg.com/profile_images/1186472994849382401/z_t-3xOT_normal.jpg,
Sherilen Clark, UT Realtor,Fri Jan 17 15:40:10 +0000 2020,@fox13 I know so many people who have gotten very sick in the past few weeks. I finally went to Costco and had my f… https://t.co/f0P15Yxcmq,Algeria,General,741,1473,178,55994,False,58206,False,http://pbs.twimg.com/profile_images/753354492628733953/FhAsPbVC_normal.jpg,
🇺🇸 #MAGADeborah ⭐️⭐️⭐️,Fri Jan 17 15:40:12 +0000 2020,RT @Chena_Punim: Listen guys you can’t get the flu from the flu shot. Only “flu-like illness.” You can’t get the measles from the MMR onl…,Algeria,General,17599,17639,364,47933,False,354230,False,http://pbs.twimg.com/profile_images/740892769317756929/BwjTPlpi_normal.jpg,
Ahnaishević,Fri Jan 17 15:40:14 +0000 2020,@majidaaghila Thanks darling,Libya,Libya,2293,3946,19,44543,False,34560,False,http://pbs.twimg.com/profile_images/1208167674695471104/NLov_qqC_normal.jpg,
Sherilen Clark, UT Realtor,Fri Jan 17 15:40:15 +0000 2020,RT @fox13: An Alamance County woman is making it her mission to warn others to get the flu shot.​ https://t.co/VCAD5rZ3eY,Algeria,General,741,1473,178,55994,False,58207,False,http://pbs.twimg.com/profile_images/753354492628733953/FhAsPbVC_normal.jpg,
Jill Promoli,Fri Jan 17 15:40:17 +0000 2020,The #flushot is our best first defense. It isn't a guarantee. Some who get the flu shot will still get the flu and… https://t.co/2DaRCdHcF3,Algeria,General,2919,503,13,13697,False,6991,False,http://pbs.twimg.com/profile_images/997063819330387973/LGBCZf4S_normal.jpg,
Jill Promoli,Fri Jan 17 15:40:20 +0000 2020,Everyone who gets the flu gets it from someone else. Your choices will either increase or decrease the risk to ever… https://t.co/qBkmWYh41p,Algeria,General,2919,503,13,13697,False,6992,False,http://pbs.twimg.com/profile_images/997063819330387973/LGBCZf4S_normal.jpg,
Jill Promoli,Fri Jan 17 15:40:22 +0000 2020,Flu season is long and it isn't too late to get your #flushot. We have high activity right now but it continues for… https://t.co/EzY6cc3shS,Algeria,General,2919,503,13,13697,False,6993,False,http://pbs.twimg.com/profile_images/997063819330387973/LGBCZf4S_normal.jpg,
Helena Fortunato,Fri Jan 17 15:40:23 +0000 2020,@BlueHeartPC1 Stabbie after a 10hr shift 👌🏼😂,Gibraltar,Gibraltar,198,195,2,1245,False,1271,False,http://pbs.twimg.com/profile_images/1178782734203981829/y0_JS-v8_normal.jpg,
